"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\AdminController.php", "PHP", -28, -1, -8, -37
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\ArchivoController.php", "PHP", -71, -20, -22, -113
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", -13, -20, -7, -40
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", -8, -10, -5, -23
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\LoginController.php", "PHP", -30, -4, -7, -41
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\RegisterController.php", "PHP", -38, 0, -10, -48
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", -9, -15, -6, -30
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\TwoFactorController.php", "PHP", -37, -17, -13, -67
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Auth\VerificationController.php", "PHP", -15, -20, -7, -42
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\CategoriaController.php", "PHP", -50, -18, -17, -85
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\ChatController.php", "PHP", -26, -2, -8, -36
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\Controller.php", "PHP", -9, 0, -4, -13
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\FileAssistantController.php", "PHP", -116, -10, -18, -144
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\FinancieraController.php", "PHP", -91, 0, -15, -106
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\HistorialArchivoController.php", "PHP", -73, 0, -17, -90
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\HomeController.php", "PHP", -10, -10, -6, -26
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\ProfileController.php", "PHP", -37, 0, -12, -49
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\UnidadController.php", "PHP", -55, -3, -13, -71
"c:\xampp\htdocs\sisarchivo\app\Http\Controllers\UserController.php", "PHP", -55, -3, -16, -74
"c:\xampp\htdocs\sisarchivo\app\Models\Archivo.php", "PHP", 20, 42, 18, 80
"c:\xampp\htdocs\sisarchivo\app\Models\Categoria.php", "PHP", 8, 17, 8, 33
"c:\xampp\htdocs\sisarchivo\app\Models\Financiera.php", "PHP", 12, 34, 9, 55
"c:\xampp\htdocs\sisarchivo\app\Models\HistorialArchivo.php", "PHP", 20, 33, 11, 64
"c:\xampp\htdocs\sisarchivo\app\Models\Unidad.php", "PHP", 7, 1, 8, 16
"c:\xampp\htdocs\sisarchivo\app\Models\User.php", "PHP", 45, 22, 15, 82
"Total", "-", -659, -4, -142, -805
